Dock_Lang,Crediteur,OrderNummer,Status,Ingebracht door,Referentie,Besteld aantal,Besteld KG
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,61286,KLAAR,Oscar van Osenbruggen,Wagen 2 van 3,60,0
1e auto 10:00 t/m 11:00 2e auto 12:00 t/m 13:00,DUCONA HOLLAND,61287,KLAAR,Oscar van Osenbruggen,Wagen 3 van 3,62,0
Leveren tussen 07:00 t/m 12:00,BLANA,61245,0 %,Antoon Appeldoorn,groep 131,20.000,0
Leveren tussen 07:00 t/m 20:00,MAGAZIJN VAN SOEST,61106,0 %,Aad Vis,               ,120,20.400
Leveren tussen 07:00 t/m 20:00,MAGAZIJN VAN SOEST,61325,0 %,Aad Vis,Voor QC,3,75
Leveren tussen 07:00 t/m 20:00,MAGAZIJN VAN SOEST,61355,0 %,Aad Vis,H&S auto 2,120,19.200
Leveren tussen 09:00 t/m 11:00,ALCA TRADING CORPORATION,58569,0 %,Johan Kleinjan,               ,160,0
Leveren tussen 09:00 t/m 11:00,FRUITMASTERS VEILING,61090,KLAAR,Aad Vis,               ,132,19.800
-,JUPITER MARKETING LTD,61352,"55,0%",Aad Vis,jmlsi00136790,240,129.000
-,URUD'OR S.A.,60482,0 %,Aad Vis,200142,40,23.552
